Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
4071,1325378470441.365336,0,8.19999980926514,-0.399993896484375,4196.1,294.471984863281,-0.672727227210999
4072,1325378470451.316840,0,7.80000019073486,-0.70001220703125,4198.3,301.281921386719,-0.756818234920502
4073,1325378470461.424392,0,7.80000019073486,-0.70001220703125,4201.4,303.512786865234,-0.714772760868073
4074,1325378470474.990184,0,7.80000019073486,-0.70001220703125,4204.4,303.043121337891,-0.378409117460251
4075,1325378470481.375264,0,7.80000019073486,-0.70001220703125,4207.4,303.160522460938,-2.60681796073914
4076,1325378470491.362608,0,7.59999990463257,-0.70001220703125,4208.9,303.160522460938,-2.60681796073914
4077,1325378470501.421104,0,7.59999990463257,-0.70001220703125,4211.8,300.812286376953,-0.336363613605499
4078,1325378470511.372784,0,7.59999990463257,-0.70001220703125,4214.8,300.342620849609,-0.840909063816071
4079,1325378470521.377656,0,7.59999990463257,-0.70001220703125,4217.7,299.638153076172,-0.252272725105286
4080,1325378470531.405128,0,7.80000019073486,-0.70001220703125,4220.3,299.051086425781,-1.05113637447357
4081,1325378470541.395352,0,7.80000019073486,-0.70001220703125,4223.2,301.634155273438,-0.630681753158569
4082,1325378470551.410144,0,7.80000019073486,-0.70001220703125,4226.1,299.755554199219,-0.126136362552643
4083,1325378470561.373896,0,7.80000019073486,-0.70001220703125,4229,300.694854736328,-1.05113637447357
4084,1325378470575.023416,0,8.30000019073486,-0.5,4232.6,299.4033203125,-0.16818180680275
4085,1325378470581.602192,0,8.30000019073486,-0.5,4235.5,301.281921386719,-0.16818180680275
4086,1325378470591.457640,0,8.30000019073486,-0.5,4238.4,301.281921386719,-0.16818180680275
4087,1325378470601.357088,0,8.30000019073486,-0.5,4241.3,301.281921386719,-0.16818180680275
4088,1325378470611.348760,0,8.69999980926514,-0.5,4244,299.872985839844,0
4089,1325378470621.349872,0,8.69999980926514,-0.5,4246.9,299.872985839844,0
4090,1325378470631.426728,0,8.80000019073486,-0.5,4249.8,299.872985839844,-0.16818180680275
